2022-08-18+02:00 18:28:36
SRC_ADDR             | DST_ADDR             | SRC_PORT        | DST_PORT        | Total_Bytes     | Start_ts                       | End_ts                         | Protocol                      
192.168.1.1          | 10.0.2.15            | 53              | 47998           | 94              | 1660839833.825422              | 1660839833.825422              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 57154           | 94              | 1660839833.946528              | 1660839833.946528              | UDP                            
52.168.112.66        | 10.0.2.15            | 443             | 46806           | 35263           | 1660839823.959587              | 1660840103.269220              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 58404           | 94              | 1660839833.648635              | 1660839833.648635              | UDP                            
185.199.110.133      | 10.0.2.15            | 443             | 60228           | 4646            | 1660839834.088680              | 1660840005.364974              | TCP                            
192.168.1.1          | 10.0.2.15            | 53              | 51560           | 85              | 1660839835.632868              | 1660839835.632868              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 47605           | 140             | 1660839828.262299              | 1660839828.262299              | UDP                            
10.0.2.15            | 192.168.1.1          | 60896           | 53              | 85              | 1660840072.922845              | 1660840072.922845              | UDP                            
10.0.2.15            | 192.168.1.1          | 41356           | 53              | 81              | 1660839831.245182              | 1660839831.245182              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 34947           | 385             | 1660839984.072659              | 1660839984.102083              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 59355           | 94              | 1660839833.717248              | 1660839833.717248              | UDP                            
10.0.2.15            | 140.82.113.25        | 35242           | 443             | 728             | 1660839833.583837              | 1660839834.187949              | TCP                            
10.0.2.15            | 192.168.1.1          | 47685           | 53              | 86              | 1660839835.243384              | 1660839835.243384              | UDP                            
140.82.113.25        | 10.0.2.15            | 443             | 35244           | 4766            | 1660839835.362629              | 1660840075.604221              | TCP                            
10.0.2.15            | 142.250.180.132      | 54741           | 443             | 2465            | 1660840072.940745              | 1660840073.040425              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 40811           | 100             | 1660839834.566813              | 1660839834.566813              | UDP                            
10.0.2.15            | 192.168.1.1          | 60564           | 53              | 83              | 1660839829.302723              | 1660839829.302723              | UDP                            
31.13.86.4           | 10.0.2.15            | 443             | 35500           | 2366            | 1660839830.787927              | 1660839830.849776              | UDP                            
10.0.2.15            | 192.168.1.1          | 46219           | 53              | 94              | 1660839833.661137              | 1660839833.661137              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 40662           | 94              | 1660839833.966461              | 1660839833.966461              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 59985           | 126             | 1660839922.597423              | 1660839922.597423              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 57899           | 94              | 1660839833.756694              | 1660839833.756694              | UDP                            
10.0.2.15            | 192.168.1.1          | 51444           | 53              | 94              | 1660839833.949980              | 1660839833.949980              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 53859           | 120             | 1660839829.316014              | 1660839829.316014              | UDP                            
10.0.2.15            | 192.168.1.1          | 49231           | 53              | 94              | 1660839833.650137              | 1660839833.650137              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 51444           | 94              | 1660839833.954763              | 1660839833.954763              | UDP                            
10.0.2.15            | 192.168.1.1          | 35569           | 53              | 85              | 1660839835.619728              | 1660839835.619728              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 46219           | 94              | 1660839833.663905              | 1660839833.663905              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 54126           | 94              | 1660839834.433427              | 1660839834.433427              | UDP                            
10.0.2.15            | 185.199.110.154      | 55692           | 443             | 13092           | 1660839833.632921              | 1660840005.364724              | TCP                            
10.0.2.15            | 192.168.1.1          | 45454           | 53              | 85              | 1660839952.917609              | 1660839952.917609              | UDP                            
140.82.113.25        | 10.0.2.15            | 443             | 35242           | 585             | 1660839833.584291              | 1660839834.187967              | TCP                            
10.0.2.15            | 140.82.112.22        | 55256           | 443             | 5287            | 1660839834.560319              | 1660840005.465244              | TCP                            
31.13.86.36          | 10.0.2.15            | 443             | 53707           | 4833            | 1660839922.589657              | 1660839922.778072              | UDP                            
10.0.2.15            | 192.168.1.1          | 40811           | 53              | 100             | 1660839834.562831              | 1660839834.562831              | UDP                            
31.13.86.36          | 10.0.2.15            | 443             | 47529           | 4711            | 1660839830.833313              | 1660839830.967811              | UDP                            
10.0.2.15            | 192.168.1.1          | 37687           | 53              | 94              | 1660839833.640044              | 1660839833.640044              | UDP                            
142.250.184.34       | 10.0.2.15            | 443             | 34367           | 3441            | 1660839831.912795              | 1660839832.295529              | UDP                            
192.168.1.1          | 10.0.2.15            | 53              | 49784           | 94              | 1660839833.731706              | 1660839833.731706              | UDP                            
10.0.2.15            | 192.168.1.1          | 35867           | 53              | 81              | 1660839834.352116              | 1660839834.352116              | UDP                            
10.0.2.15            | 31.13.86.4           | 46584           | 443             | 3001            | 1660839829.913347              | 1660839829.936006              | UDP                            
31.13.86.4           | 10.0.2.15            | 443             | 46584           | 2281            | 1660839829.924296              | 1660839829.934067              | UDP                            
10.0.2.15            | 192.168.1.1          | 55794           | 53              | 86              | 1660839835.257124              | 1660839835.257124              | UDP                            
185.199.110.154      | 10.0.2.15            | 443             | 55692           | 11834           | 1660839833.641576              | 1660840005.364976              | TCP                            
