2022-09-07+02:00 20:25:16
SRC_ADDR                  | DST_ADDR                  | SRC_PORT        | DST_PORT        | TOTAL_BYTES     | START_TIMESTAMP                | END_TIMESTAMP                  | PROTOCOL  
10.0.2.15                 | 20.42.73.24               | 59868           | 443             | 4606            | 1662574828.280392              | 1662574828.740349              | TCP                            
34.120.115.102            | 10.0.2.15                 | 443             | 44568           | 240             | 1662574852.776196              | 1662574852.789338              | TCP                            
31.13.86.36               | 10.0.2.15                 | 443             | 58513           | 30205           | 1662574805.185383              | 1662574817.041153              | UDP                            
10.0.2.15                 | 192.168.1.1               | 50781           | 53              | 98              | 1662574816.806964              | 1662574816.806964              | UDP                            
10.0.2.15                 | 108.138.199.18            | 48674           | 443             | 279             | 1662574817.764673              | 1662574817.777099              | TCP                            
10.0.2.15                 | 140.82.114.21             | 60274           | 443             | 279             | 1662574817.764737              | 1662574817.872058              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 59059           | 126             | 1662574805.177241              | 1662574805.177241              | UDP                            
34.120.208.123            | 10.0.2.15                 | 443             | 53100           | 240             | 1662574806.763620              | 1662574806.776034              | TCP                            

0.0.2.15                 | 31.13.86.36               | 56672           | 443             | 23282           | 1662574636.214581              | 1662574668.437197              | UDP                            
31.13.86.4                | 10.0.2.15                 | 443             | 46280           | 180             | 1662574636.822870              | 1662574637.054311              | TCP                            
10.0.2.15                 | 192.168.1.1               | 35954           | 53              | 113             | 1662574710.311373              | 1662574710.311373              | UDP                            
10.0.2.15                 | 31.13.86.4                | 46270           | 443             | 915             | 1662574636.797386              | 1662574637.058466              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 57593           | 81              | 1662574645.204245              | 1662574645.204245              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 55670           | 222             | 1662574621.121901              | 1662574621.121901              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 37098           | 94              | 1662574615.362561              | 1662574615.362561              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 47461           | 152             | 1662574634.602745              | 1662574634.602745              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 46290           | 140             | 1662574619.754483              | 1662574619.754483              | UDP                            
108.138.199.18            | 10.0.2.15                 | 443             | 48674           | 333723          | 1662574589.074835              | 1662574764.443858              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 50999           | 113             | 1662574717.444429              | 1662574717.444429              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 52701           | 102             | 1662574621.391943              | 1662574621.391943              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 60591           | 183             | 1662574727.236571              | 1662574727.236571              | UDP                            
20.189.173.14             | 10.0.2.15                 | 443             | 54712           | 6578            | 1662574743.545854              | 1662574744.466539              | TCP                            
192.168.1.1               | 10.0.2.15                 | 53              | 32981           | 100             | 1662574619.758638              | 1662574619.758638              | UDP                            
10.0.2.15                 | 192.168.1.1               | 55999           | 53              | 94              | 1662574615.364523              | 1662574615.364523              | UDP                            
34.120.115.102            | 10.0.2.15                 | 443             | 44568           | 39606           | 1662574619.123384              | 1662574740.725125              | TCP                            
10.0.2.15                 | 192.168.1.1               | 52294           | 53              | 114             | 1662574632.059040              | 1662574632.059040              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 36778           | 141             | 1662574636.406324              | 1662574636.406324              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40363           | 53              | 94              | 1662574618.465992              | 1662574618.465992              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 44817           | 94              | 1662574615.308539              | 1662574615.308539              | UDP                            
10.0.2.15                 | 192.168.1.1               | 41980           | 53              | 84              | 1662574622.355055              | 1662574622.355055              | UDP                            
10.0.2.15                 | 192.168.1.1               | 40699           | 53              | 96              | 1662574621.132715              | 1662574621.132715              | UDP                            
10.0.2.15                 | 192.168.1.1               | 58368           | 53              | 93              | 1662574684.021916              | 1662574684.021916              | UDP                            
10.0.2.15                 | 192.168.1.1               | 35185           | 53              | 88              | 1662574635.711824              | 1662574635.711824              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 50588           | 223             | 1662574710.310523              | 1662574710.310523              | UDP                            
10.0.2.15                 | 140.82.121.6              | 49968           | 443             | 62650           | 1662574621.947651              | 1662574770.495193              | TCP                            
142.250.180.142           | 10.0.2.15                 | 443             | 33945           | 10054           | 1662574623.717496              | 1662574640.613183              | UDP                            
10.0.2.15                 | 192.168.1.1               | 51030           | 53              | 116             | 1662574772.586650              | 1662574772.586650              | UDP                            
192.168.1.1               | 10.0.2.15                 | 53              | 56226           | 93              | 1662574634.578605              | 1662574634.578605              | UDP                            
10.0.2.15                 | 192.168.1.1               | 55786           | 53              | 94              | 1662574643.021245              | 1662574643.021245              | UDP                            
10.0.2.15                 | 192.168.1.1               | 47461           | 53              | 96              | 1662574634.580624              | 1662574634.580624              | UDP                            
